pace,wind,stryd
04:30,0,13
04:29,0,26
04:28,0,38
04:28,0,49
04:27,0,60
04:27,0,70
04:26,0,80
04:25,0,89
04:24,0,99
04:23,0,108
04:22,0,116
04:21,0,125
04:20,0,134
04:20,0,142
04:19,1,150
04:18,1,158
04:17,1,164
04:17,1,171
04:16,1,177
04:15,1,184
04:14,1,190
04:13,1,195
04:13,1,201
04:12,1,206
04:11,1,211
04:10,1,216
04:10,1,220
04:09,1,225
04:09,1,229
04:08,1,233
04:08,1,236
04:07,1,240
04:07,1,243
04:06,1,246
04:06,1,248
04:06,1,251
04:05,1,254
04:05,1,257
04:04,1,260
04:04,0,262
04:03,0,265
04:03,0,267
04:03,0,270
04:02,0,272
04:02,0,274
04:02,0,276
04:01,0,278
04:01,0,280
04:01,0,282
04:00,0,283
04:00,0,285
04:00,0,286
04:00,0,288
03:59,0,289
03:59,0,290
03:59,0,292
03:58,0,293
03:58,0,295
03:58,0,296
03:58,0,297
03:58,0,299
03:57,0,300
03:57,0,301
03:57,0,302
03:57,0,303
03:56,0,303
03:56,0,304
03:56,0,305
03:56,0,306
03:56,0,306
03:56,0,308
03:55,0,308
03:55,0,309
03:55,0,310
03:55,0,310
03:55,0,311
03:55,0,311
03:55,0,311
03:54,0,311
03:54,0,312
03:54,0,312
03:54,0,312
03:54,0,313
03:54,0,313
03:54,0,314
03:54,0,315
03:54,0,315
03:54,0,316
03:54,0,317
03:54,0,318
03:54,0,318
03:54,0,319
03:54,0,319
03:54,0,320
03:54,0,320
03:54,0,320
03:54,0,321
03:54,0,321
03:54,0,321
03:54,0,321
03:54,0,321
03:54,0,321
03:54,0,321
03:54,0,321
03:55,0,321
03:55,0,321
03:55,0,321
03:55,0,322
03:55,1,322
03:55,1,322
03:55,1,322
03:55,1,323
03:55,1,323
03:55,1,323
03:55,1,322
03:55,1,322
03:55,1,321
03:55,1,321
03:56,1,321
03:56,1,322
03:56,1,322
03:56,1,323
03:56,1,323
03:56,1,324
03:56,2,324
03:56,2,325
03:56,2,325
03:56,2,326
03:56,2,327
03:56,3,328
03:56,3,329
03:56,3,330
03:56,3,331
03:56,3,332
03:56,4,334
03:56,4,335
03:56,5,336
03:56,5,338
03:56,5,339
03:56,5,340
03:56,6,341
03:56,6,341
03:56,7,342
03:56,8,342
03:56,9,343
03:56,10,344
03:56,11,345
03:56,11,346
03:56,11,346
03:56,12,346
03:57,12,346
03:57,12,341
04:02,12,336
04:10,12,330
04:17,12,324
04:24,12,318
04:30,12,312
04:35,12,307
04:40,12,303
04:44,12,299
04:49,12,295
04:53,12,291
04:58,12,288
05:02,12,284
05:07,12,280
05:12,12,277
05:16,12,273
05:21,12,270
05:24,12,267
05:28,12,264
05:32,12,261
05:35,12,259
05:38,12,258
05:40,13,257
05:43,13,258
05:43,14,260
05:42,15,261
05:42,16,263
05:42,17,264
05:41,18,264
05:39,18,264
05:37,18,265
05:34,19,266
05:32,18,268
05:30,17,270
05:29,16,272
05:28,16,274
05:27,15,276
05:27,14,278
05:26,14,280
05:25,13,281
05:24,13,283
05:23,12,285
05:22,12,286
05:21,11,287
05:20,11,288
05:19,10,289
05:18,10,289
05:17,10,289
05:15,10,290
05:14,10,290
05:13,11,291
05:11,11,292
05:09,12,293
05:08,13,294
05:06,14,296
05:05,15,297
05:04,16,299
05:02,17,300
05:01,18,301
04:59,19,301
04:58,20,302
04:57,21,303
04:56,22,304
04:55,24,305
04:54,25,306
04:53,26,306
04:52,28,307
04:51,29,307
04:50,30,307
04:49,30,307
04:49,31,307
04:48,32,307
04:47,32,307
04:47,33,307
04:46,34,308
04:45,35,309
04:45,36,310
04:44,37,312
04:44,39,313
04:43,39,314
04:43,40,315
04:42,41,315
04:42,42,316
04:41,43,317
04:41,44,318
04:41,44,319
04:40,45,320
04:40,46,321
04:40,46,322
04:39,46,323
04:39,46,324
04:39,45,324
04:38,44,325
04:38,43,325
04:38,42,326
04:38,40,327
04:38,39,329
04:37,37,331
04:37,36,334
04:37,34,336
04:37,33,339
04:36,31,342
04:36,30,344
04:36,29,346
04:36,28,348
04:36,28,350
04:35,27,352
04:35,27,353
04:35,27,355
04:35,27,356
04:34,27,357
04:34,27,358
04:34,27,358
04:34,28,358
04:34,28,358
04:34,28,357
04:33,28,356
04:33,28,356
04:33,28,355
04:33,29,354
04:33,29,353
04:32,29,352
04:32,29,351
04:32,29,349
04:32,29,348
04:32,30,346
04:32,30,345
04:32,30,343
04:31,30,342
04:31,30,340
04:31,30,339
04:31,30,337
04:31,29,336
04:31,29,335
04:31,29,335
04:31,29,337
04:31,29,339
04:31,29,341
04:31,29,343
04:32,29,345
04:32,29,347
04:32,30,349
04:32,30,350
04:32,30,351
04:32,30,352
04:32,30,352
04:32,31,353
04:32,30,354
04:32,30,354
04:33,30,354
04:33,30,354
04:33,29,353
04:33,29,352
04:33,29,351
04:33,28,350
04:33,28,349
04:33,28,348
04:33,28,347
04:33,27,346
04:33,27,345
04:33,26,344
04:33,26,342
04:33,26,341
04:33,26,340
04:33,25,338
04:33,25,337
04:33,25,336
04:33,25,335
04:33,25,334
04:33,25,334
04:33,26,333
04:33,26,332
04:33,27,332
04:33,28,332
04:33,29,333
04:33,31,334
04:33,32,334
04:33,33,335
04:33,34,335
04:33,35,335
04:33,35,336
04:33,35,336
04:33,36,336
04:33,36,336
04:33,36,337
04:33,36,338
04:33,35,339
04:33,35,340
04:33,34,342
04:33,32,344
04:33,31,345
04:33,30,347
04:32,28,349
04:32,27,350
04:32,26,351
04:32,25,352
04:31,24,352
04:31,23,351
04:30,22,350
04:30,21,349
04:29,20,348
04:28,19,346
04:28,18,345
04:27,17,343
04:26,16,342
04:25,15,340
04:24,14,339
04:23,14,338
04:21,13,336
04:20,12,335
04:19,12,334
04:18,11,334
04:17,11,334
04:16,10,333
04:15,10,333
04:14,9,333
04:13,9,333
04:12,8,334
04:11,8,334
04:10,7,334
04:09,7,335
04:08,7,335
04:07,6,336
04:06,6,337
04:05,6,337
04:04,5,337
04:04,5,338
04:03,5,338
04:02,5,338
04:02,4,338
04:01,4,337
04:00,4,337
04:00,4,337
03:59,4,336
03:59,3,336
03:58,3,336
03:58,3,335
03:57,3,335
03:57,3,334
03:57,3,334
03:56,3,334
03:56,2,333
03:55,2,333
03:55,2,332
03:55,2,331
03:54,2,331
03:54,2,330
03:54,2,330
03:54,2,330
03:53,2,331
03:53,2,331
03:53,1,331
03:53,1,331
03:52,1,331
03:52,1,331
03:52,1,331
03:52,1,331
03:52,1,331
03:52,1,332
03:52,1,332
03:51,1,332
03:51,1,332
03:51,1,333
03:51,1,333
03:51,1,333
03:51,1,333
03:51,1,333
03:51,1,333
03:51,1,333
03:51,1,333
03:51,1,333
03:51,1,333
03:51,0,333
03:51,0,333
03:51,0,332
03:51,0,332
03:51,0,332
03:51,0,331
03:51,0,331
03:51,0,331
03:51,0,331
03:51,0,331
03:51,0,332
03:51,0,332
03:51,0,332
03:51,0,333
03:51,0,333
03:51,0,333
03:51,0,334
03:51,0,334
03:51,0,334
03:51,0,334
03:51,0,334
03:52,0,333
03:52,1,333
03:52,2,333
03:52,3,333
03:52,5,334
03:52,7,335
03:51,10,337
03:51,12,339
03:51,14,341
03:51,16,342
03:51,18,344
03:51,20,346
03:52,22,349
03:52,23,352
03:52,24,354
03:53,25,355
03:53,26,356
03:54,27,356
03:54,28,356
03:54,29,357
03:55,30,357
03:55,31,358
03:55,32,358
03:56,33,358
03:56,34,358
03:57,35,359
03:57,37,359
03:58,38,359
03:58,39,358
03:59,40,357
03:59,41,357
04:00,42,357
04:00,42,358
04:01,43,358
04:01,43,359
04:01,43,360
04:02,43,360
04:02,43,361
04:02,43,361
04:03,43,361
04:03,42,361
04:03,42,361
04:03,43,361
04:04,43,361
04:04,43,361
04:04,43,361
04:05,44,361
04:05,44,360
04:05,44,360
04:06,44,359
04:06,44,358
04:06,44,357
04:07,44,355
04:07,44,355
04:07,43,354
04:08,43,354
04:08,43,354
04:09,43,354
04:09,42,354
04:09,42,354
04:10,41,354
04:10,41,354
04:10,41,354
04:11,41,354
04:11,40,354
04:12,40,354
04:12,40,355
04:13,40,355
04:13,39,355
04:13,39,355
04:14,39,355
04:14,39,355
04:15,38,355
04:15,38,357
04:15,38,359
04:16,37,360
04:16,37,360
04:17,37,361
04:17,37,361
04:17,38,362
04:18,38,364
04:18,38,364
04:19,38,365
04:19,38,366
04:20,38,366
04:20,38,367
04:20,38,367
04:21,38,367
04:21,38,366
04:22,38,366
04:22,39,366
04:23,40,367
04:23,41,368
04:23,41,368
04:24,42,368
04:24,41,368
04:25,41,368
04:25,41,367
04:25,40,367
04:26,40,366
04:26,40,365
04:26,39,363
04:27,40,361
04:27,40,360
04:28,40,359
04:28,40,358
04:28,39,356
04:28,39,355
04:29,39,354
04:29,39,353
04:29,39,351
04:30,40,350
04:30,40,349
04:30,41,348
04:31,42,347
04:31,43,347
04:31,44,346
04:31,46,346
04:32,47,346
04:32,48,346
04:32,49,346
04:33,49,345
04:33,50,345
04:33,50,344
04:33,50,344
04:34,50,344
04:34,50,344
04:34,50,344
04:34,49,345
04:34,49,345
04:35,48,346
04:35,48,348
04:35,48,349
04:35,48,351
04:35,49,353
04:35,49,355
04:35,49,357
04:36,49,358
04:36,48,359
04:36,48,359
04:36,48,359
04:36,48,359
04:36,48,358
04:36,49,358
04:36,49,357
04:37,49,356
04:37,48,356
04:37,48,355
04:37,47,354
04:37,46,354
04:37,45,353
04:37,43,354
04:37,42,355
04:37,41,356
04:37,39,357
04:37,38,359
04:37,37,360
04:37,36,362
04:37,34,363
04:37,33,366
04:37,32,368
04:37,31,371
04:37,30,374
04:37,29,376
04:37,28,378
04:37,28,380
04:37,28,381
04:36,28,381
04:36,28,381
04:36,28,380
04:36,28,378
04:36,28,376
04:36,27,375
04:36,26,374
04:36,26,372
04:36,25,370
04:35,25,368
04:35,25,366
04:35,25,364
04:35,24,363
04:35,24,361
04:35,24,359
04:35,24,357
04:34,24,356
04:34,25,355
04:34,25,355
04:34,26,355
04:34,27,355
04:34,27,354
04:33,28,354
04:33,28,354
04:33,28,353
04:33,29,353
04:33,29,353
04:32,29,353
04:32,29,353
04:32,29,353
04:32,30,353
04:31,30,353
04:31,31,353
04:31,32,353
04:31,32,352
04:30,32,351
04:30,31,351
04:30,30,349
04:30,29,347
04:30,28,345
04:29,26,343
04:29,25,341
04:29,24,339
04:28,23,337
04:28,22,336
04:28,20,335
04:28,19,335
04:27,18,335
04:27,18,335
04:27,17,336
04:26,17,337
04:26,17,339
04:26,18,340
04:25,20,342
04:25,21,343
04:25,21,343
04:25,21,342
04:24,20,342
04:24,19,341
04:24,19,340
04:23,18,340
04:23,17,339
04:23,16,339
04:23,15,340
04:22,14,340
04:22,14,340
04:22,13,340
04:21,12,339
04:21,12,339
04:21,11,339
04:20,11,340
04:20,10,341
04:20,10,342
04:19,9,343
04:19,9,343
04:18,8,343
04:18,8,344
04:17,7,344
04:16,7,344
04:15,7,344
04:14,6,345
04:13,6,345
04:12,6,346
04:11,5,347
04:10,5,347
04:09,5,348
04:08,5,349
04:07,5,350
04:06,4,351
04:05,4,352
04:04,4,353
04:03,4,354
04:02,4,355
04:01,4,355
04:00,4,356
03:59,4,356
03:58,4,357
03:57,3,357
03:57,3,358
03:56,3,358
03:55,3,358
03:54,3,359
03:54,3,359
03:53,3,360
03:52,3,360
03:52,3,360
03:52,3,361
03:51,2,361
03:51,2,361
03:50,2,362
03:50,2,362
03:49,2,362
03:49,2,362
03:48,2,362
